Name,Links to allergen databases,,Source,Group,Routes of exposure,Family
Jun a 3,IUIS,AllergenOnline,Juniperus_ashei_(Ashe_juniper),Plants,Inhalation,AF060: Thaumatin-like protein
Jun o 4,IUIS,AllergenOnline,Juniperus_oxycedrus_(Prickly_juniper),Plants,Inhalation,AF007: EF hand family
Jun o pectate lyase,,AllergenOnline,Juniperus_oxycedrus_(Prickly_juniper),Plants,Inhalation,AF073: Pectate lyase
Jun r TLP,,AllergenOnline,Juniperus_rigida_(Temple_juniper),Plants,Inhalation,AF060: Thaumatin-like protein
Jun v 1,IUIS,AllergenOnline,Juniperus_virginiana_(Eastern_red_cedar),Plants,Inhalation,AF073: Pectate lyase
Jun v 3,IUIS,AllergenOnline,Juniperus_virginiana_(Eastern_red_cedar),Plants,Inhalation,AF060: Thaumatin-like protein
Koc s 1,IUIS,AllergenOnline,Kochia_scoparia_(Bassia_scoparia)_(Burning_bush),Plants,Inhalation,AF087: Ole e 1 family
Koc s 2,IUIS,,Kochia_scoparia_(Bassia_scoparia)_(Burning_bush),Plants,Inhalation,AF051: Profilin
Len c 1,IUIS,AllergenOnline,Lens_culinaris_(Lentil),Plants,Ingestion,AF045: Cupin
Len c 3,IUIS,AllergenOnline,Lens_culinaris_(Lentil),Plants,Ingestion,AF050: Prolamin superfamily
Lig v 1,IUIS,AllergenOnline,Ligustrum_vulgare_(Privet),Plants,Inhalation,AF087: Ole e 1 family
Lil l polygalacturonase,,AllergenOnline,Lilium_longiflorum_(Trumpet_lily),Plants,Inhalation,AF057: Polygalacturonase
Lit c 1,IUIS,AllergenOnline,Litchi_chinensis_(Lychee),Plants,Ingestion,AF051: Profilin
Lol p 1,IUIS,AllergenOnline,Lolium_perenne_(Perennial_ryegrass),Plants,Inhalation,AF093: Expansin and expansin-like
Lol p 11,IUIS,AllergenOnline,Lolium_perenne_(Perennial_ryegrass),Plants,Inhalation,AF087: Ole e 1 family
Lol p 2,IUIS,AllergenOnline,Lolium_perenne_(Perennial_ryegrass),Plants,Inhalation,AF093: Expansin and expansin-like
Lol p 3,IUIS,AllergenOnline,Lolium_perenne_(Perennial_ryegrass),Plants,Inhalation,AF093: Expansin and expansin-like
Lol p 4,IUIS,AllergenOnline,Lolium_perenne_(Perennial_ryegrass),Plants,Inhalation,AF099: Berberine bridge enzyme
Lol p 5,IUIS,AllergenOnline,Lolium_perenne_(Perennial_ryegrass),Plants,Inhalation,AF102: Group 5/6 grass pollen allergen
Lup a 5,IUIS,,Lupinus_albus_(white_lupin),Plants,Ingestion,AF051: Profilin
Lup a vicilin,,AllergenOnline,Lupinus_albus_(white_lupin),Plants,Ingestion,AF045: Cupin
Lup an 1,IUIS,AllergenOnline,Lupinus_angustifolius_(Narrow-leaved_blue_lupin),Plants,Ingestion,AF045: Cupin
Lyc b nsLTP,,AllergenOnline,Lycium_barbarum_(wolfberry),Plants,Ingestion,AF050: Prolamin superfamily
Mal d 1,IUIS,AllergenOnline,Malus_domestica_(Apple),Plants,Ingestion,AF069: Bet v 1 family
Mal d 2,IUIS,AllergenOnline,Malus_domestica_(Apple),Plants,Ingestion,AF060: Thaumatin-like protein
Mal d 3,IUIS,AllergenOnline,Malus_domestica_(Apple),Plants,Ingestion,AF050: Prolamin superfamily
Mal d 4,IUIS,AllergenOnline,Malus_domestica_(Apple),Plants,Ingestion,AF051: Profilin
Man z TLP,,AllergenOnline,Manilkara_zapota_(Sapodilla_plum),Plants,Ingestion,AF060: Thaumatin-like protein
Mer a 1,IUIS,AllergenOnline,Mercurialis_annua_(Annual_mercury),Plants,Inhalation,AF051: Profilin
Mor a PR-10,,AllergenOnline,Morus_alba_(White_mulberry),Plants,Ingestion,AF069: Bet v 1 family
Mor b PR-10,,AllergenOnline,Morus_bombycis_(Chinese_mulberry),Plants,Ingestion,AF069: Bet v 1 family
Mor n 3,IUIS,AllergenOnline,Morus_nigra_(Black_mulberry),Plants,Ingestion,AF050: Prolamin superfamily
Mus a 1,IUIS,AllergenOnline,Musa_acuminata_(Banana),Plants,Ingestion,AF051: Profilin
Mus a 2,IUIS,AllergenOnline,Musa_acuminata_(Banana),Plants,Ingestion,AF043: Hevein-like and class I/II chitinase
Mus a 4,IUIS,AllergenOnline,Musa_acuminata_(Banana),Plants,Ingestion,AF060: Thaumatin-like protein
Mus a 6,IUIS,,Musa_acuminata_(Banana),Plants,Ingestion,AF035: Peroxidase
Mus a glucanase,,AllergenOnline,Musa_acuminata_(Banana),Plants,Ingestion,"AF063: Beta-1,3-glucanase and X8 domain"
Nic t villin,,AllergenOnline,Nicotiana_tabacum_(Tobacco),Plants,Inhalation,AF074: Gelsolin family
Ole e 1,IUIS,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,AF087: Ole e 1 family
Ole e 10,IUIS,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,"AF063: Beta-1,3-glucanase and X8 domain"
Ole e 11,IUIS,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,AF026: Pectin methylesterase
Ole e 2,IUIS,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,AF051: Profilin
Ole e 3,IUIS,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,AF007: EF hand family
Ole e 4,IUIS,,Olea_europaea_(Olive),Plants,Inhalation,"AF063: Beta-1,3-glucanase and X8 domain"
Ole e 5,IUIS,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,AF019: Cu/Zn Superoxide dismutase
Ole e 6,IUIS,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,AF135: Ole e 6 family
Ole e 8,IUIS,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,AF007: EF hand family
Ole e 9,IUIS,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,"AF063: Beta-1,3-glucanase and X8 domain"
Ole e IFR,,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,AF123: Isoflavone reductase family
Ole e TLP,,AllergenOnline,Olea_europaea_(Olive),Plants,Inhalation,AF060: Thaumatin-like protein
Ory s 1,IUIS,AllergenOnline,Oryza_sativa_(Rice),Plants,Inhalation,AF093: Expansin and expansin-like
Ory s 12,IUIS,,Oryza_sativa_(Rice),Plants,Inhalation,AF051: Profilin
Ory s glyoxalase,,AllergenOnline,Oryza_sativa_(Rice),Plants,Ingestion,AF082: Glyoxalase superfamily
Ory s polcalcin,,AllergenOnline,Oryza_sativa_(Rice),Plants,Inhalation,AF007: EF hand family
Ory s RAG1/RAG2,,AllergenOnline,Oryza_sativa_(Rice),Plants,Ingestion,AF050: Prolamin superfamily
Ost c 1,IUIS,AllergenOnline,Ostrya_carpinifolia_(European_hop_hornbeam),Plants,Inhalation,AF069: Bet v 1 family
Par h 1,IUIS,,Parthenium_hysterophorus_(Feverfew),Plants,Inhalation,AF059: Plant defensin
Par j 1,IUIS,AllergenOnline,Parietaria_judaica_(Pellitory-of-the-Wall),Plants,Inhalation,AF050: Prolamin superfamily
Par j 2,IUIS,AllergenOnline,Parietaria_judaica_(Pellitory-of-the-Wall),Plants,Inhalation,AF050: Prolamin superfamily
Par j 3,IUIS,AllergenOnline,Parietaria_judaica_(Pellitory-of-the-Wall),Plants,Inhalation,AF051: Profilin
Par j 4,IUIS,AllergenOnline,Parietaria_judaica_(Pellitory-of-the-Wall),Plants,Inhalation,AF007: EF hand family
Par o nsLTP,,AllergenOnline,Parietaria_officinalis_(Upright_pellitory),Plants,Inhalation,AF050: Prolamin superfamily
Par o nsLTP iso 2,,AllergenOnline,Parietaria_officinalis_(Upright_pellitory),Plants,Inhalation,AF050: Prolamin superfamily
Pas n 1,IUIS,AllergenOnline,Paspalum_notatum_(Bahia_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Pas n polygalacturonidase,,AllergenOnline,Paspalum_notatum_(Bahia_grass),Plants,Inhalation,AF057: Polygalacturonase
Pers a 1,IUIS,AllergenOnline,Persea_americana_(Avocado),Plants,Ingestion,AF043: Hevein-like and class I/II chitinase
Pha a 1,IUIS,AllergenOnline,Phalaris_aquatica_(Canary_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Pha a 5,IUIS,AllergenOnline,Phalaris_aquatica_(Canary_grass),Plants,Inhalation,AF102: Group 5/6 grass pollen allergen
Pha v 3,IUIS,AllergenOnline,"Phaseolus_vulgaris_(Kidney_bean,_French_bean)",Plants,Ingestion,AF050: Prolamin superfamily
Phl p 1,IUIS,AllergenOnline,Phleum_pratense_(Timothy),Plants,Inhalation,AF093: Expansin and expansin-like
Phl p 11,IUIS,AllergenOnline,Phleum_pratense_(Timothy),Plants,Inhalation,AF087: Ole e 1 family
Phl p 12,IUIS,AllergenOnline,Phleum_pratense_(Timothy),Plants,Inhalation,AF051: Profilin
Phl p 13,IUIS,AllergenOnline,Phleum_pratense_(Timothy),Plants,Inhalation,AF057: Polygalacturonase
Phl p 2,IUIS,AllergenOnline,Phleum_pratense_(Timothy),Plants,Inhalation,AF093: Expansin and expansin-like
Phl p 4,IUIS,AllergenOnline,Phleum_pratense_(Timothy),Plants,Inhalation,AF099: Berberine bridge enzyme
Phl p 5,IUIS,AllergenOnline,Phleum_pratense_(Timothy),Plants,Inhalation,AF102: Group 5/6 grass pollen allergen
Phl p 6,IUIS,AllergenOnline,Phleum_pratense_(Timothy),Plants,Inhalation,AF102: Group 5/6 grass pollen allergen
Phl p 7,IUIS,AllergenOnline,Phleum_pratense_(Timothy),Plants,Inhalation,AF007: EF hand family
Pho d 2,IUIS,AllergenOnline,Phoenix_dactylifera_(Date_palm),Plants,Inhalation,AF051: Profilin
Pin k 2,IUIS,,Pinus_koraiensis_(Korean_Pine),Plants,Ingestion,AF045: Cupin
Pin p 1,IUIS,AllergenOnline,Pinus_pinea_(Stone_pine),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Pis s 1,IUIS,AllergenOnline,Pisum_sativum_(Garden_pea),Plants,Ingestion,AF045: Cupin
Pis s 2,IUIS,AllergenOnline,Pisum_sativum_(Garden_pea),Plants,Ingestion,AF045: Cupin
Pis s 3,IUIS,AllergenOnline,Pisum_sativum_(Garden_pea),Plants,Ingestion,AF050: Prolamin superfamily
Pis v 1,IUIS,AllergenOnline,Pistacia_vera_(Pistachio),Plants,Ingestion,AF050: Prolamin superfamily
Pis v 2,IUIS,AllergenOnline,Pistacia_vera_(Pistachio),Plants,Ingestion,AF045: Cupin
Pis v 3,IUIS,AllergenOnline,Pistacia_vera_(Pistachio),Plants,Ingestion,AF045: Cupin
Pis v 4,IUIS,AllergenOnline,Pistacia_vera_(Pistachio),Plants,Ingestion,AF020: Fe/Mn superoxide dismutase
Pis v 5,IUIS,,Pistacia_vera_(Pistachio),Plants,Ingestion,AF045: Cupin
Pla a 1,IUIS,AllergenOnline,Platanus_acerifolia_(London_plane_tree),Plants,Inhalation,AF120: Plant invertase/pectin methylesterase inhibitor
Pla a 2,IUIS,AllergenOnline,Platanus_acerifolia_(London_plane_tree),Plants,Inhalation,AF057: Polygalacturonase
Pla a 3,IUIS,AllergenOnline,Platanus_acerifolia_(London_plane_tree),Plants,Inhalation,AF050: Prolamin superfamily
Pla l 1,IUIS,AllergenOnline,Plantago_lanceolata_(English_plantain),Plants,Inhalation,AF087: Ole e 1 family
Pla l 2,IUIS,,Plantago_lanceolata_(English_plantain),Plants,Inhalation,AF051: Profilin
Pla or 1,IUIS,AllergenOnline,Platanus_orientalis_(Oriental_plane_tree),Plants,Inhalation,AF120: Plant invertase/pectin methylesterase inhibitor
Pla or 2,IUIS,AllergenOnline,Platanus_orientalis_(Oriental_plane_tree),Plants,Inhalation,AF057: Polygalacturonase
Pla or 3,IUIS,,Platanus_orientalis_(Oriental_plane_tree),Plants,Inhalation,AF050: Prolamin superfamily
Poa p 1,IUIS,AllergenOnline,Poa_pratensis_(Kentucky_blue_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Poa p 5,IUIS,AllergenOnline,Poa_pratensis_(Kentucky_blue_grass),Plants,Inhalation,AF102: Group 5/6 grass pollen allergen
Pro j 1,IUIS,,Prosopis_juliflora_(Mesquite),Plants,Inhalation,AF087: Ole e 1 family
Pro j 2,IUIS,AllergenOnline,Prosopis_juliflora_(Mesquite),Plants,Inhalation,AF051: Profilin
Pru ar 1,IUIS,AllergenOnline,Prunus_armeniaca_(Apricot),Plants,Ingestion,AF069: Bet v 1 family
Pru ar 3,IUIS,AllergenOnline,Prunus_armeniaca_(Apricot),Plants,Ingestion,AF050: Prolamin superfamily
Pru av 1,IUIS,AllergenOnline,Prunus_avium_(Sweet_cherry),Plants,Ingestion,AF069: Bet v 1 family
Pru av 2,IUIS,AllergenOnline,Prunus_avium_(Sweet_cherry),Plants,Ingestion,AF060: Thaumatin-like protein
Pru av 3,IUIS,AllergenOnline,Prunus_avium_(Sweet_cherry),Plants,Ingestion,AF050: Prolamin superfamily
Pru av 4,IUIS,AllergenOnline,Prunus_avium_(Sweet_cherry),Plants,Ingestion,AF051: Profilin
Pru d 3,IUIS,AllergenOnline,Prunus_domestica_(Plum),Plants,Ingestion,AF050: Prolamin superfamily
Pru du 3,IUIS,,Prunus_dulcis_(Almond),Plants,Ingestion,AF050: Prolamin superfamily
Pru du 4,IUIS,AllergenOnline,Prunus_dulcis_(Almond),Plants,Ingestion,AF051: Profilin
Pru du 5,IUIS,,Prunus_dulcis_(Almond),Plants,Ingestion,AF070: 60S acidic ribosomal protein
Pru du 6,IUIS,AllergenOnline,Prunus_dulcis_(Almond),Plants,Ingestion,AF045: Cupin
Pru du TLP,,AllergenOnline,Prunus_dulcis_(Almond),Plants,Ingestion,AF060: Thaumatin-like protein
Pru m 7,IUIS,,Prunus_mume_(Japanese_apricot),Plants,Ingestion,AF212: GASA/snakin family
Pru p 1,IUIS,AllergenOnline,Prunus_persica_(Peach),Plants,Ingestion,AF069: Bet v 1 family
Pru p 2,IUIS,AllergenOnline,Prunus_persica_(Peach),Plants,Ingestion,AF060: Thaumatin-like protein
Pru p 3,IUIS,AllergenOnline,Prunus_persica_(Peach),Plants,Ingestion,AF050: Prolamin superfamily
Pru p 4,IUIS,AllergenOnline,Prunus_persica_(Peach),Plants,Ingestion,AF051: Profilin
Pru p 7,IUIS,AllergenOnline,Prunus_persica_(Peach),Plants,Ingestion,AF212: GASA/snakin family
Pun g 1,IUIS,AllergenOnline,Punica_granatum_(Pomegranate),Plants,Ingestion,AF050: Prolamin superfamily
Pyr c 1,IUIS,AllergenOnline,Pyrus_communis_(Pear),Plants,Ingestion,AF069: Bet v 1 family
Pyr c 3,IUIS,AllergenOnline,Pyrus_communis_(Pear),Plants,Ingestion,AF050: Prolamin superfamily
Pyr c 4,IUIS,AllergenOnline,Pyrus_communis_(Pear),Plants,Ingestion,AF051: Profilin
Pyr c 5,IUIS,AllergenOnline,Pyrus_communis_(Pear),Plants,Ingestion,AF123: Isoflavone reductase family
Que a 1,IUIS,AllergenOnline,Quercus_alba_(White_oak),Plants,Inhalation,AF069: Bet v 1 family
Ric c 1,IUIS,AllergenOnline,Ricinus_communis_(Castor_bean),Plants,Ingestion,AF050: Prolamin superfamily
Rub i 1,IUIS,AllergenOnline,Rubus_idaeus_(Red_raspberry),Plants,Ingestion,AF069: Bet v 1 family
Rub i 3,IUIS,AllergenOnline,Rubus_idaeus_(Red_raspberry),Plants,Ingestion,AF050: Prolamin superfamily
Sal k 1,IUIS,AllergenOnline,Salsola_kali_(Prickly_saltwort),Plants,Inhalation,AF026: Pectin methylesterase
Sal k 2,IUIS,,Salsola_kali_(Prickly_saltwort),Plants,Inhalation,AF017: Protein kinase
Sal k 3,IUIS,AllergenOnline,Salsola_kali_(Prickly_saltwort),Plants,Inhalation,AF152: Cobalamin-independent methionine synthase
Sal k 4,IUIS,AllergenOnline,Salsola_kali_(Prickly_saltwort),Plants,Inhalation,AF051: Profilin
Sal k 5,IUIS,AllergenOnline,Salsola_kali_(Prickly_saltwort),Plants,Inhalation,AF087: Ole e 1 family
Sec c 38,IUIS,AllergenOnline,Secale_cereale_(Rye),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Sec c 5,IUIS,AllergenOnline,Secale_cereale_(Rye),Plants,Ingestion; Inhalation,AF102: Group 5/6 grass pollen allergen
Sec c BBE,,AllergenOnline,Secale_cereale_(Rye),Plants,Inhalation,AF099: Berberine bridge enzyme
Ses i 1,IUIS,AllergenOnline,Sesamum_indicum_(Sesame),Plants,Ingestion,AF050: Prolamin superfamily
Ses i 2,IUIS,AllergenOnline,Sesamum_indicum_(Sesame),Plants,Ingestion,AF050: Prolamin superfamily
Ses i 3,IUIS,AllergenOnline,Sesamum_indicum_(Sesame),Plants,Ingestion,AF045: Cupin
Ses i 4,IUIS,AllergenOnline,Sesamum_indicum_(Sesame),Plants,Ingestion,AF090: Oleosin
Ses i 5,IUIS,AllergenOnline,Sesamum_indicum_(Sesame),Plants,Ingestion,AF090: Oleosin
Ses i 6,IUIS,AllergenOnline,Sesamum_indicum_(Sesame),Plants,Ingestion,AF045: Cupin
Ses i 7,IUIS,AllergenOnline,Sesamum_indicum_(Sesame),Plants,Ingestion,AF045: Cupin
Ses i dehydrogenase,,AllergenOnline,Sesamum_indicum_(Sesame),Plants,Ingestion,AF028: Short-chain dehydrogenase
Sin a 1,IUIS,AllergenOnline,Sinapis_alba_(Yellow_mustard),Plants,Ingestion,AF050: Prolamin superfamily
Sin a 2,IUIS,AllergenOnline,Sinapis_alba_(Yellow_mustard),Plants,Ingestion,AF045: Cupin
Sin a 3,IUIS,AllergenOnline,Sinapis_alba_(Yellow_mustard),Plants,Ingestion,AF050: Prolamin superfamily
Sin a 4,IUIS,AllergenOnline,Sinapis_alba_(Yellow_mustard),Plants,Ingestion,AF051: Profilin
Sola l 1,IUIS,AllergenOnline,Solanum_lycopersicum_(Tomato),Plants,Ingestion,AF051: Profilin
Sola l 2,IUIS,AllergenOnline,Solanum_lycopersicum_(Tomato),Plants,Ingestion,AF052: Glycoside hydrolase family 32
Sola l 3,IUIS,AllergenOnline,Solanum_lycopersicum_(Tomato),Plants,Ingestion,AF050: Prolamin superfamily
Sola l 4,IUIS,AllergenOnline,Solanum_lycopersicum_(Tomato),Plants,Ingestion,AF069: Bet v 1 family
Sola l 5,IUIS,,Solanum_lycopersicum_(Tomato),Plants,Ingestion,AF038: Cyclophilin
Sola l 6,IUIS,AllergenOnline,Solanum_lycopersicum_(Tomato),Plants,Ingestion,AF050: Prolamin superfamily
Sola l 7,IUIS,AllergenOnline,Solanum_lycopersicum_(Tomato),Plants,Ingestion,AF050: Prolamin superfamily
Sola t 1,IUIS,AllergenOnline,Solanum_tuberosum_(Potato),Plants,Ingestion,AF104: Patatin family
Sola t 2,IUIS,AllergenOnline,Solanum_tuberosum_(Potato),Plants,Ingestion,AF046: Kunitz soybean trypsin inhibitor family
Sola t 3,IUIS,AllergenOnline,Solanum_tuberosum_(Potato),Plants,Ingestion,AF046: Kunitz soybean trypsin inhibitor family
Sola t 4,IUIS,AllergenOnline,Solanum_tuberosum_(Potato),Plants,Ingestion,AF046: Kunitz soybean trypsin inhibitor family
Sola t profilin,,AllergenOnline,Solanum_tuberosum_(Potato),Plants,Ingestion,AF051: Profilin
Sor h 1,IUIS,AllergenOnline,Sorghum_halepense_(Johnson_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Sor h 13,IUIS,AllergenOnline,Sorghum_halepense_(Johnson_grass),Plants,Inhalation,AF057: Polygalacturonase
Sor h 2,IUIS,,Sorghum_halepense_(Johnson_grass),Plants,Inhalation,AF093: Expansin and expansin-like
Syr v 1,IUIS,AllergenOnline,Syringa_vulgaris_(Lilac),Plants,Inhalation,AF087: Ole e 1 family
Syr v 3,IUIS,AllergenOnline,Syringa_vulgaris_(Lilac),Plants,Inhalation,AF007: EF hand family
Tri a 12,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF051: Profilin
Tri a 14,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Tri a 15,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Inhalation,AF050: Prolamin superfamily
Tri a 18,IUIS,,Triticum_aestivum_(Wheat),Plants,Ingestion,AF043: Hevein-like and class I/II chitinase
Tri a 20,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion,AF050: Prolamin superfamily
Tri a 21,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Tri a 25,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion,AF023: Thioredoxin
Tri a 26,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion,AF050: Prolamin superfamily
Tri a 27,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF155: GILT family
Tri a 28,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Inhalation,AF050: Prolamin superfamily
Tri a 29,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Tri a 30,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Tri a 31,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF032: Triosephosphate isomerase
Tri a 32,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Inhalation,AF167: 1-Cys Peroxiredoxin
Tri a 33,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF018: Serpin serine protease inhibitor
Tri a 34,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Inhalation,AF184: Glyceraldehyde 3-phosphate dehydrogenase
Tri a 35,IUIS,,Triticum_aestivum_(Wheat),Plants,Inhalation,AF163: Dehydrin
Tri a 36,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion,AF050: Prolamin superfamily
Tri a 37,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion,AF206: Thionin
Tri a 39,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Inhalation,AF141: Potato inhibitor I family
Tri a 40,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Tri a 41,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,"AF207: Zinc finger, C3HC4 type (RING finger)"
Tri a 43,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF203: SCAI family
Tri a 44,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF050: Prolamin superfamily
Tri a 45,IUIS,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion; Inhalation,AF204: Transcription elongation factor 1
Tri a CPDW-II,,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion,AF166: Serine carboxypeptidase
Tri a GST,,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Inhalation,AF010: Glutathione S-transferase
Tri a LRRP,,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion,AF143: Leucine-rich repeat
Tri a TLP,,AllergenOnline,Triticum_aestivum_(Wheat),Plants,Ingestion,AF060: Thaumatin-like protein
Tri d CM2,,AllergenOnline,Triticum_durum_(Durum_wheat),Plants,Ingestion,AF050: Prolamin superfamily
Tri d LMW glutenin,,AllergenOnline,Triticum_durum_(Durum_wheat),Plants,Ingestion,AF050: Prolamin superfamily
Tri u alpha/beta gliadin,,AllergenOnline,Triticum_urartu_(Red_wild_einkorn),Plants,Ingestion,AF050: Prolamin superfamily
Vig r 1,IUIS,AllergenOnline,Vigna_radiata_(Mung_bean),Plants,Ingestion,AF069: Bet v 1 family
Vig r 2,IUIS,AllergenOnline,Vigna_radiata_(Mung_bean),Plants,Ingestion,AF045: Cupin
Vig r 4,IUIS,AllergenOnline,Vigna_radiata_(Mung_bean),Plants,Ingestion,AF189: Hemopexin family
Vig r 6,IUIS,AllergenOnline,Vigna_radiata_(Mung_bean),Plants,Ingestion,AF069: Bet v 1 family
Vit v 1,IUIS,AllergenOnline,Vitis_vinifera_(Grape),Plants,Ingestion,AF050: Prolamin superfamily
Zea m 1,IUIS,AllergenOnline,Zea_mays_(Maize),Plants,Inhalation,AF093: Expansin and expansin-like
Zea m 12,IUIS,AllergenOnline,Zea_mays_(Maize),Plants,Ingestion; Inhalation,AF051: Profilin
Zea m 14,IUIS,AllergenOnline,Zea_mays_(Maize),Plants,Ingestion,AF050: Prolamin superfamily
Zea m 25,IUIS,AllergenOnline,Zea_mays_(Maize),Plants,Inhalation,AF023: Thioredoxin
Zea m 8,IUIS,AllergenOnline,Zea_mays_(Maize),Plants,Ingestion,AF043: Hevein-like and class I/II chitinase
Zea m Ole e 1-like,,AllergenOnline,Zea_mays_(Maize),Plants,Inhalation,AF087: Ole e 1 family
Zea m polygalacturonase,,AllergenOnline,Zea_mays_(Maize),Plants,Inhalation,AF057: Polygalacturonase
Ziz m 1,IUIS,AllergenOnline,Ziziphus_mauritiana_(Chinese-date),Plants,Ingestion,AF077: Chitinase class III and peritrophin-like
