"Species_name","Species_nr","German_name","acceptedname","authority","genus","Species","Species.simple","family","subfamily","tribe","subtribe","Species_col","Species_in_status","Species_in_Bioflor","Introduction_status_Seitz2012","Introduction_status_Biolflor","first_evidence","Origin","status_num","clonal_adventitious_buds_on_roots","clonal_bulbs","clonal_epigeogeneous_stems","clonal_hypogeogeneous_stems","clonal_plant_fragments_of_stem_origin","clonal_plantlets_(pseudovivipary)","clonal_rooting_horizontal_stems","clonal_root-splitters","clonal_spacers_above_and_renewal_buds_below_soil_surface","clonal_stem_tubers","clonal_buds_on_leaves_(gemmipary)","reprod_type","LifeF_macrophanero","LifeF_nanophanero","LifeF_hemicrypto","LifeF_geophyte","LifeF_chamae","LifeF_hemiphanero","LifeF_pseudo","LifeF_thero","flower_class","legume","flower_brown","flower_yellow","flower_green","flower_red","flower_white","flower_pink","flower_purple","flower_violet","flower_blue","DispersalUnitLength_mean","LeafArea_mean","LeafNitrogenContent_mean","PlantHeight_mean","PlantMycorrhizalInfection_mean","SeedDryMass_mean","SLA_mean","poll_vect_B","flw_muell","self_poll","insect_poll","wind_poll","cleisto_poll","FunGroup","LifeForm"
"Cerastium glutinosum",1461,"Bleiches Hornkraut","Cerastium kunthii","Fr.","Cerastium","Cerastium_glutinosum","Cerastium_glutinosum","Caryophyllaceae",NA,"Alsineae",NA,"Cerastium_glutinosum","Cerastium glutinosum","Cerastium glutinosum","I","I",NA,"Northern-Europe","1",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,1,"AB",0,0,0,0,0,1,0,0,0,0,NA,NA,NA,0.1,NA,NA,NA,"se (selfing) [the rule] - in (insects) [rare]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,0,0,0,"Forb","Cryptophyte"
"Cerastium holosteoides",1451,"Gewöhnliches Hornkraut","Cerastium fontanum subsp. vulgare","Fr.","Cerastium","Cerastium_holosteoides","Cerastium_holosteoides","Caryophyllaceae",NA,"Alsineae",NA,"Cerastium_holosteoides","Cerastium holosteoides","Cerastium holosteoides","I","I",NA,"Northern-Europe","1",0,0,0,0,0,0,0,1,0,0,0,"sv",0,0,0,0,1,0,0,0,"AB",0,0,0,0,0,1,0,0,0,0,NA,120.0843789,10.91368067,0.25702381,NA,0.1175,28.02645938,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",0,1,0,0,"Forb","Chamaephyte"
"Cerastium semidecandrum",1463,"Sand-Hornkraut","Cerastium semidecandrum","L.","Cerastium","Cerastium_semidecandrum","Cerastium_semidecandrum","Caryophyllaceae",NA,"Alsineae",NA,"Cerastium_semidecandrum","Cerastium semidecandrum","Cerastium semidecandrum","I","I",NA,"Northern-Europe","1",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,1,"AB",0,0,0,0,0,1,0,0,0,0,0.475,50.33034896,7.140257667,0.074714716,10,0.038451905,17.96481978,"se (selfing) [always] - in (insects) [rare]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees",1,0,0,0,"Forb","Cryptophyte"
"Chenopodium album",1515,"Weißer Gänsefuß","Chenopodium album","L.","Chenopodium","Chenopodium_album","Chenopodium_album","Chenopodiaceae","Chenopodioideae","Atripliceae",NA,"Chenopodium_album","Chenopodium album","Chenopodium album","I","I",NA,"Northern-Europe","1",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,0,0,0,0,0,1,"Wb",0,0,0,1,0,0,0,0,0,0,1.356666667,1051.40423,34.86253352,0.391736318,10,0.768285714,26.37154174,"wi (wind) [the rule]","Wb (wind flowers occassionally visited by insect)Typical pollinators: Short tongued bees, syrphids, flies, beetles",0,0,1,0,"Forb","Therophyte"
"Chondrilla juncea",1539,"Großer Knorpellattich","Chondrilla juncea","L.","Chondrilla","Chondrilla_juncea","Chondrilla_juncea","Asteraceae","Cichorioideae","Cichorieae","Chondrillinae","Chondrilla_juncea","Chondrilla juncea","Chondrilla juncea","I","I",NA,"Northern-Europe","1",1,0,0,0,0,0,0,1,0,0,0,"ssv",0,0,1,0,0,0,0,0,"B`",0,0,1,0,0,0,0,0,0,0,8.66,300.3333333,21.53,0.62825,NA,0.4365,9.487571429,NA,"B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,0,0,0,"Forb","Cryptophyte"
"Cirsium arvense",1557,"Acker-Kratzdistel","Cirsium arvense","(L.) Scop.","Cirsium","Cirsium_arvense","Cirsium_arvense","Asteraceae","Carduoideae","Cardueae","Carduinae","Cirsium_arvense","Cirsium arvense","Cirsium arvense","I","I",NA,"Northern-Europe","1",1,0,0,1,0,0,0,0,0,0,0,"sv",0,0,0,1,0,0,0,0,"B`",0,0,0,0,0,0,1,0,0,0,7.766,1964.061245,22.05147366,0.660908207,70,1.202497222,17.72296396,"in (insects) [always]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Cirsium vulgare",1579,"Gewöhnliche Kratzdistel","Cirsium vulgare","(Savi) Ten.","Cirsium","Cirsium_vulgare","Cirsium_vulgare","Asteraceae","Carduoideae","Cardueae","Carduinae","Cirsium_vulgare","Cirsium vulgare","Cirsium vulgare","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"B`",0,0,0,0,0,0,0,1,0,0,6.74125,10596.79231,32.5,1.042,70,2.662508974,15.57673524,"in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Clematis vitalba",1591,"Gewöhnliche Waldrebe","Clematis vitalba","L.","Clematis","Clematis_vitalba","Clematis_vitalba","Ranunculaceae","Ranunculoideae","Anemoneae",NA,"Clematis_vitalba","Clematis vitalba","Clematis vitalba","N","I",1957,"Europe","1",0,0,1,0,0,0,0,0,0,0,0,"s",0,1,0,0,0,0,0,0,"PoDe",0,0,0,0,0,1,0,0,0,0,13.68,8886.369656,33.55734286,11.28571429,70,2.16471828,27.86558384,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","PoDe (transition type pollen flowers - nasty flowers)Typical pollinators: short tounged bees, syrphids, muscids, beetles",0,1,0,0,"Forb","Nanophanerophyte"
"Convolvulus arvensis",1632,"Acker-Winde","Convolvulus arvensis","L.","Convolvulus","Convolvulus_arvensis","Convolvulus_arvensis","Convolvulaceae",NA,"Convolvuleae",NA,"Convolvulus_arvensis","Convolvulus arvensis","Convolvulus arvensis","A","A",NA,"","2",1,0,0,1,0,0,0,0,0,0,0,"vvs",0,0,0,1,0,0,0,0,"B",0,0,0,0,0,1,0,0,0,0,3.285,527.0303571,33.2788875,0.292757576,70,12.14674375,25.90256849,"se (selfing) [possible] - in (insects) [always]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Conyza canadensis",1638,"Kanadisches Berufkraut","Conyza canadensis","(L.) Cronquist","Conyza","Conyza_canadensis","Conyza_canadensis","Asteraceae","Asteroideae","Astereae",NA,"Conyza_canadensis","Conyza canadensis","Conyza canadensis","N","N",1787,"North_America","3",1,0,0,1,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,1,"B`",0,0,1,0,0,1,0,0,0,0,2.155,209.1281406,30.1344175,0.515083333,NA,0.065904713,24.57171205,"se (selfing) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,0,0,0,"Forb","Cryptophyte"
"Corynephorus canescens",1679,"Silbergras","Corynephorus canescens","(L.) P. Beauv.","Corynephorus","Corynephorus_canescens","Corynephorus_canescens","Poaceae","Pooideae","Poeae","Airinae","Corynephorus_canescens","Corynephorus canescens","Corynephorus canescens","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,1.408571429,33.1325,28.6,0.183333333,10,1.177844444,15.58833333,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Crataegus monogyna",1707,"Eingriffliger Weißdorn","Crataegus monogyna","Jacq.","Crataegus","Crataegus_monogyna","Crataegus_monogyna","Rosaceae","Amygdaloideae","Maleae",NA,"Crataegus_monogyna","Crataegus monogyna","Crataegus monogyna","I","I",NA,"Northern-Europe","1",1,0,0,0,0,0,0,0,0,0,0,"s",1,1,0,0,0,0,0,0,"ABDe",0,0,0,0,0,0,0,1,0,0,8.85,614.2319037,17.92109991,4.693272727,70,128.0043203,13.47520454,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","ABDe (transition type flowers with partly hidden nectar - nasty flowers)Typical pollinators: flies, beetles",0,1,0,0,"Forb","Nanophanerophyte"
"Crepis capillaris",1716,"Kleinköpfiger Pippau","Crepis capillaris","(L.) Wallr.","Crepis","Crepis_capillaris","Crepis_capillaris","Asteraceae","Cichorioideae","Cichorieae","Crepidinae","Crepis_capillaris","Crepis capillaris","Crepis capillaris","A","A",NA,"","2",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,1,"B`",0,0,1,0,0,0,0,0,0,0,3.1375,1866.162851,27.04610667,0.378149766,70,0.217778939,32.97860036,"ge (geitonogamy) [at failure of outcrossing] - in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Cynoglossum officinale",1805,"Gewöhnliche Hundszunge","Cynoglossum officinale","L.","Cynoglossum","Cynoglossum_officinale","Cynoglossum_officinale","Boraginaceae","Cynoglossoideae","Cynoglosseae","Cynoglossinae","Cynoglossum_officinale","Cynoglossum officinale","Cynoglossum officinale","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"B",0,1,0,0,0,0,0,0,0,0,6.802857143,8644.178889,NA,0.479166667,NA,30.31995833,22.84625,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Cytisus scoparius",1837,"Besenginster","Cytisus scoparius","(L.) Link","Cytisus","Cytisus_scoparius","Cytisus_scoparius","Fabaceae","Papilionoideae","Genisteae",NA,"Cytisus_scoparius","Cytisus scoparius","Cytisus scoparius","I","I",NA,"Northern-Europe","1",0,0,0,1,0,0,0,0,0,0,0,"s",0,1,0,0,0,0,0,0,"H",1,0,1,0,0,0,0,0,0,0,10.724,35.88308538,30.57083333,1.528246154,70,8.272939715,17.68758947,"se (selfing) [never] - in (insects) [the rule]","H (hymenoptere flowers)Typical pollinators: hymenopteres",0,1,0,0,"Legume","Nanophanerophyte"
"Dactylis glomerata",1843,"Wiesen-Knäuelgras","Dactylis glomerata","L.","Dactylis","Dactylis_glomerata","Dactylis_glomerata","Poaceae","Pooideae","Poeae","Dactylidinae","Dactylis_glomerata","Dactylis glomerata","Dactylis glomerata","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"ssv",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,4.820909091,1688.412001,24.39550715,0.660004116,70,0.835444173,26.14085505,"wi (wind) [the rule] - se (selfing) [rare]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Danthonia decumbens",1874,"Dreizahn","Danthonia decumbens","(L.) DC.","Danthonia","Danthonia_decumbens","Danthonia_decumbens","Poaceae","Danthonioideae","Danthonieae",NA,"Danthonia_decumbens","Danthonia decumbens","Danthonia decumbens","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"sv",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,3.765454545,336.6666667,17.21458333,0.234135238,70,1.230303846,17.1157309,"wi (wind) [the rule] - kl (cleistogamy) [the rule]","W (wind flowers)Typical pollinators: -",0,0,1,1,"Grass","Cryptophyte"
"Daucus carota",1886,"Wilde Möhre","Daucus carota","L.","Daucus","Daucus_carota","Daucus_carota","Apiaceae","Apioideae","Scandiceae","Daucinae","Daucus_carota","Daucus carota","Daucus carota","I","I",NA,"Northern-Europe","1",1,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,0,"A",0,0,0,0,0,1,0,0,0,0,3.2225,1156.376923,22.0318456,0.488749398,70,1.097841883,18.77244324,"se (selfing) [rare] - in (insects) [the rule]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",0,1,0,0,"Forb","Cryptophyte"
"Deschampsia flexuosa",20725,"Draht-Schmiele","Deschampsia flexuosa","(L.) Trin.","Deschampsia","Deschampsia_flexuosa","Deschampsia_flexuosa","Poaceae","Pooideae","Poeae","Holcinae","Deschampsia_flexuosa","Deschampsia flexuosa","Deschampsia flexuosa","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"sv",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,3.910769231,45.14532096,21.90998848,0.315902857,70,0.399997586,24.52249327,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Dianthus carthusianorum",1917,"Karthäuser-Nelke","Dianthus carthusianorum","L.","Dianthus","Dianthus_carthusianorum","Dianthus_carthusianorum","Caryophyllaceae",NA,"Caryophylleae",NA,"Dianthus_carthusianorum","Dianthus carthusianorum","Dianthus carthusianorum","I","I",NA,"Northern-Europe","1",0,0,0,0,0,0,1,1,0,0,0,"sv",0,0,1,0,0,0,0,0,"Ft",0,0,0,0,0,0,0,1,0,0,2.15,NA,NA,0.33,NA,1.451714286,16.662,"in (insects) [always]","Ft (butterfly flowers)Typical pollinators: butterflies",0,1,0,0,"Forb","Cryptophyte"
"Dianthus deltoides",1926,"Heide-Nelke","Dianthus deltoides","L.","Dianthus","Dianthus_deltoides","Dianthus_deltoides","Caryophyllaceae",NA,"Caryophylleae",NA,"Dianthus_deltoides","Dianthus deltoides","Dianthus deltoides","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"F",0,0,0,0,1,0,0,1,0,0,1.742,26.66666667,NA,0.204375,10,0.195563636,19,"in (insects) [always]","F (butterfly flowers)Typical pollinators: butterflies, long tongued bees, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Dianthus giganteus",99088,"Große Nelke","Dianthus giganteus","d'Urv.","Dianthus","Dianthus_giganteus","Dianthus_giganteus","Caryophyllaceae",NA,"Caryophylleae",NA,"Dianthus_giganteus","Dianthus giganteus","Dianthus giganteus","N","I",2001,"Southern_Europe, Europe","1",0,0,1,0,0,0,0,0,0,0,0,"sv",0,0,1,0,0,0,0,0,"Ft",0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Forb","Cryptophyte"
"Digitaria ischaemum",1966,"Faden-Fingerhirse","Digitaria ischaemum","(Schreb.) Muhl.","Digitaria","Digitaria_ischaemum","Digitaria_ischaemum","Poaceae","Panicoideae","Paniceae","Anthephorinae","Digitaria_ischaemum","Digitaria ischaemum","Digitaria ischaemum","A","A",NA,"","2",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,0,0,0,0,0,1,"W",0,0,0,0,0,0,0,1,0,0,1.922857143,142.4557143,11.34,0.1425,NA,1.275,37.78842771,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Therophyte"
"Digitaria sanguinalis",1967,"Blutrote Fingerhirse","Digitaria sanguinalis","(L.) Scop.","Digitaria","Digitaria_sanguinalis","Digitaria_sanguinalis","Poaceae","Panicoideae","Paniceae","Anthephorinae","Digitaria_sanguinalis","Digitaria sanguinalis","Digitaria sanguinalis","A","A",NA,"","2",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,0,0,0,0,0,1,"W",0,0,0,0,0,0,0,1,0,0,2.452222222,1783.297568,26.29347625,0.288333333,NA,0.515142857,38.92089937,"wi (wind) [possible] - se (selfing) [the rule]","W (wind flowers)Typical pollinators: -",1,0,0,0,"Grass","Therophyte"
"Dipsacus fullonum",1980,"Wilde Karde","Dipsacus fullonum","L.","Dipsacus","Dipsacus_fullonum","Dipsacus_fullonum","Caprifoliaceae",NA,NA,NA,"Dipsacus_fullonum","Dipsacus fullonum","Dipsacus fullonum","N","A",1953,"North_Africa, Europe","2",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,0,"B`",0,0,0,0,0,0,0,0,1,0,4.744,23937,13.8,0.913527778,30,2.523848485,19.54852121,"se (selfing) [rare] - in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Draba verna",12356,"L.","Draba verna","L.","Draba","Draba_verna","Draba_verna","Brassicaceae",NA,"Arabideae",NA,"Draba_verna","Draba verna","Draba verna","I","I",NA,"Northern-Europe","1",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,1,"AB",0,0,1,0,0,0,0,0,0,0,0.608,75.57514389,3.106014333,0.072307692,NA,0.508402857,39.74744698,NA,NA,0,0,0,0,"Forb","Cryptophyte"
"Echium vulgare",2067,"Gewöhnlicher Natternkopf","Echium vulgare","L.","Echium","Echium_vulgare","Echium_vulgare","Boraginaceae","Boraginoideae","Lithospermeae",NA,"Echium_vulgare","Echium vulgare","Echium vulgare","A","A",NA,"","2",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,0,"H",0,0,0,0,0,0,1,0,0,0,2.685,3842.5,23.6,0.580555556,70,2.921392308,14.45,"in (insects) [the rule]","H (hymenoptere flowers)Typical pollinators: hymenopteres",0,1,0,0,"Forb","Cryptophyte"
"Elymus repens",27778,"Kriech-Quecke","Elymus repens","(L.) Gould","Elymus","Elymus_repens","Elymus_repens","Poaceae","Pooideae","Triticeae","Hordeinae","Elymus_repens","Elymus repens","Elymus repens","I","I",NA,"Northern-Europe","1",0,0,0,0,1,0,0,0,0,0,0,"vvs",0,0,1,1,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,9.620769231,2046.238884,24.37473583,0.745930234,70,2.561457226,22.58949776,NA,NA,0,0,0,0,"Grass","Cryptophyte"
"Equisetum arvense",2142,"Acker-Schachtelhalm","Equisetum arvense","L.","Equisetum","Equisetum_arvense","Equisetum_arvense","Equisetaceae",NA,NA,NA,"Equisetum_arvense","Equisetum arvense","Equisetum arvense","I","I",NA,"Northern-Europe","1",0,0,0,1,0,0,0,0,0,0,0,"sv",0,0,0,1,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,NA,190.9909091,20.06733732,0.40618,NA,NA,13.70609118,NA,NA,0,0,0,0,"Forb","Cryptophyte"
"Equisetum x moorei",2146,"Moores Schachtelhalm","Equisetum","L.","Equisetum","Equisetum_x_moorei","Equisetum_x_moorei","Equisetaceae",NA,NA,NA,"Equisetum_x_moorei","Equisetum x moorei","Equisetum x moorei","I","I",NA,"Northern-Europe","1",0,0,0,1,0,0,0,0,0,0,0,"sv",0,0,1,0,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Forb","Cryptophyte"
"Eragrostis minor",2155,"Kleines Liebesgras","Eragrostis minor","Host","Eragrostis","Eragrostis_minor","Eragrostis_minor","Poaceae","Chloridoideae","Eragrostideae","Eragrostidinae","Eragrostis_minor","Eragrostis minor","Eragrostis minor","N","N",1953,"West_Asia, Southern_Europe","3",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,0,0,0,0,0,1,"W",0,0,0,0,0,0,0,1,0,0,0.661666667,433.7446978,22.56821964,0.191666667,NA,0.08,31.28794512,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Therophyte"
"Erigeron acris",2167,"Scharfes Berufkraut","Erigeron acris","L.","Erigeron","Erigeron_acris","Erigeron_acris","Asteraceae","Asteroideae","Astereae",NA,"Erigeron_acris","Erigeron acris","Erigeron acris","I","I",NA,"Northern-Europe","1",0,0,0,1,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"B`",0,0,0,0,1,1,0,1,0,0,5.17,316,NA,NA,NA,0.1025,NA,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Erigeron annuus",2178,"Einjähriger Feinstrahl","Erigeron annuus","(L.) Pers.","Erigeron","Erigeron_annuus","Erigeron_annuus","Asteraceae","Asteroideae","Astereae",NA,"Erigeron_annuus","Erigeron annuus","Erigeron annuus","N","N",1859,"North_America","3",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"B`",0,0,0,0,0,1,0,1,0,0,1,1474.4082,16.55448934,0.788451613,NA,0.044666667,25.68877817,"in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",0,1,0,0,"Forb","Cryptophyte"
"Erodium cicutarium",2199,"Gewöhnlicher Reiherschnabel","Erodium cicutarium","(L.) L'HÃ©r. ex Aiton","Erodium","Erodium_cicutarium","Erodium_cicutarium","Geraniaceae",NA,NA,NA,"Erodium_cicutarium","Erodium cicutarium","Erodium cicutarium","A","A",NA,"","2",0,0,0,0,0,0,0,1,0,0,0,"s",0,0,1,0,0,0,0,1,"B",0,0,0,0,0,0,1,0,0,0,4.185,722.99026,29.51361429,0.139132224,NA,1.889393333,29.07861633,"se (selfing) [often] - in (insects) [unknown]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids",1,1,0,0,"Forb","Cryptophyte"
"Euonymus europaea",2245,"Gewöhnliches Pfaffenhütchen","Euonymus europaea","L.","Euonymus","Euonymus_europaea","Euonymus_europaea","Celastraceae",NA,NA,NA,"Euonymus_europaea","Euonymus europaea","Euonymus europaea","I","I",NA,"Northern-Europe","1",0,0,0,0,0,0,0,1,0,0,0,"s",0,1,0,0,0,0,0,0,"A",0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,32.963,NA,"in (insects) [the rule]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",0,1,0,0,"Forb","Nanophanerophyte"
"Euphorbia cyparissias",2255,"Zypressen-Wolfsmilch","Euphorbia cyparissias","L.","Euphorbia","Euphorbia_cyparissias","Euphorbia_cyparissias","Euphorbiaceae","Euphorbioideae","Euphorbieae",NA,"Euphorbia_cyparissias","Euphorbia cyparissias","Euphorbia cyparissias","I","I",NA,"Northern-Europe","1",1,0,0,1,0,0,0,0,0,0,0,"sv",0,0,1,1,0,0,0,0,"A",0,0,1,1,1,0,0,0,0,0,1.961428571,25.46095709,27.9247675,0.203727273,70,2.041571429,22.31853714,"se (selfing) [possible] - in (insects) [always]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees",0,1,0,0,"Forb","Cryptophyte"
"Festuca arundinacea",2368,"Rohr-Schwingel","Festuca arundinacea","Schreb.","Festuca","Festuca_arundinacea","Festuca_arundinacea","Poaceae","Pooideae","Poeae","Loliinae","Festuca_arundinacea","Festuca arundinacea","Festuca arundinacea","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,6.1,2077.405519,13.78159508,0.659536993,70,2.360580645,18.20794803,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Festuca brevipila",26591,"Rauhblättriger Schaf-Schwingel","Festuca trachyphylla","R. Tracey","Festuca","Festuca_brevipila","Festuca_brevipila","Poaceae","Pooideae","Poeae","Loliinae","Festuca_brevipila","Festuca brevipila","Festuca brevipila","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,3.1,133.2166667,NA,0.266666667,NA,0.7898,5.583333333,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Festuca ovina",2396,"Echter Schaf-Schwingel","Festuca ovina","L.","Festuca","Festuca_ovina","Festuca_ovina","Poaceae","Pooideae","Poeae","Loliinae","Festuca_ovina","Festuca ovina","Festuca ovina","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,3.840588235,75.23035373,16.19863237,0.275417857,70,0.52923618,16.34846193,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Festuca pratensis",2412,"Wiesen-Schwingel","Festuca pratensis","Huds.","Festuca","Festuca_pratensis","Festuca_pratensis","Poaceae","Pooideae","Poeae","Loliinae","Festuca_pratensis","Festuca pratensis","Festuca pratensis","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,5.375714286,1403.413775,24.88857143,0.579813793,70,1.913395238,27.20810855,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Festuca rubra agg.",2417,"Artengruppe Rot-Schwingel","Festuca rubra","L.","Festuca","Festuca_rubra_agg.","Festuca_rubra_agg.","Poaceae","Pooideae","Poeae","Loliinae","Festuca_rubra_agg.","Festuca rubra","Festuca rubra","I","I",NA,"Northern-Europe","1",0,0,1,1,0,0,0,0,0,0,0,"sv",0,0,1,0,0,0,0,0,"W",0,0,1,0,0,0,0,0,0,0,6.098125,278.7195603,17.47659931,0.421862146,70,0.906554557,18.62172783,"wi (wind) [always]","W (wind flowers)Typical pollinators: -",0,0,1,0,"Grass","Cryptophyte"
"Ficaria verna",4721,"Huds.","Ficaria verna","Huds.","Ficaria","Ficaria_verna","Ficaria_verna","Ranunculaceae","Ranunculoideae","Ranunculeae",NA,"Ficaria_verna","Ficaria verna","Ficaria verna","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"vvs",0,0,1,1,0,0,0,0,"AB",0,0,1,0,0,0,0,0,0,0,2.882857143,1112.977553,32.86914429,0.119727778,70,2.484523077,36.99645521,NA,NA,0,0,0,0,"Forb","Cryptophyte"
"Filago arvensis",2449,"Acker-Filzkraut","Filago arvensis","L.","Filago","Filago_arvensis","Filago_arvensis","Asteraceae","Asteroideae","Gnaphalieae",NA,"Filago_arvensis","Filago arvensis","Filago arvensis","I","I",NA,"Northern-Europe","1",0,0,1,0,0,0,0,0,0,0,0,"s",0,0,1,0,0,0,0,1,"B`",0,0,1,0,0,0,0,0,0,0,0.804,76.36666667,NA,0.2125,NA,0.4,39.06,"wi (wind) [rare] - se (selfing) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids",1,0,0,0,"Forb","Cryptophyte"
