"","Species","Species_name","Species_acceptedname","family","subfamily","Frequency","allergen_score_old","allergenicity_anecdotal","allergen_score_corrected","IUIS.record","SDAP.record","AllFam.record","Allergenonline.record","Allergome.record","additional_ref","react.europe.Allergome","FDA","allergenicity_strict","ref_severity","Comment_severity","allergen_score","Flowering_beg","Flowering_end","Pollen_dispersal","Source","Species.match","Genus","allergenicity","database.record","severe.all","Freq.rural","Freq.suburb","Freq.urban","Introduction_status_Seitz2012","Origin","status_num","first_evidence","SLA_mean","PlantHeight_mean","SeedDryMass_mean","poll_vect_B","flw_muell","FunGroup","LifeForm","fl.beg","fl.end","fl.period","resident","native","exotic","neophyte","molecule.unknown","allergenicity.broad","known.mols","known.allfam","phenology_score","main.pollination","pollen_score","PAV","anemophilous"
"Conyza_canadensis","Conyza_canadensis","Conyza canadensis","Conyza_canadensis","Asteraceae","Asteroideae",16,1,1,0,0,0,0,0,0,1,"",NA,0,"Ščevková 2014","anecdotal evidence only",0,"July","October","Selfing","BioFlor- 2018","Conyza_canadensis","Conyza",0,FALSE,0,7,4,5,"N","North_America",3,1787,24.57171205,0.515083333,0.065904713,"se (selfing) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",7,10,3,0,0,1,1,0,0,0,0,3,"selfing",0,0,0
"Corynephorus_canescens","Corynephorus_canescens","Corynephorus canescens","Corynephorus_canescens","Poaceae","Pooideae",10,0,1,3,0,0,0,0,0,1,"",NA,1,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",3,"June","July","Wind","BioFlor- 2018","Corynephorus_canescens","Corynephorus",1,FALSE,1,4,4,2,"I","Northern-Europe",1,NA,15.58833333,0.183333333,1.177844444,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,7,1,1,1,0,0,0,1,5,5,1,"wind",3,9,1
"Crepis_capillaris","Crepis_capillaris","Crepis capillaris","Crepis_capillaris","Asteraceae","Cichorioideae",10,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","October","Geitogamy, insects","BioFlor- 2018","Crepis_capillaris","Crepis",0,FALSE,0,4,5,1,"A","",2,NA,32.97860036,0.378149766,0.217778939,"ge (geitonogamy) [at failure of outcrossing] - in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",6,10,4,1,0,1,0,0,0,0,0,3,"insects",1,0,0
"Cynoglossum_officinale","Cynoglossum_officinale","Cynoglossum officinale","Cynoglossum_officinale","Boraginaceae","Cynoglossoideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"May","July","Selfing, insects","BioFlor- 2018","Cynoglossum_officinale","Cynoglossum",0,FALSE,0,1,0,0,"I","Northern-Europe",1,NA,22.84625,0.479166667,30.31995833,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids","Forb","Cryptophyte",5,7,2,1,1,0,0,0,0,0,0,2,"insects",1,0,0
"Cytisus_scoparius","Cytisus_scoparius","Cytisus scoparius","Cytisus_scoparius","Fabaceae","Papilionoideae",1,1,1,1,0,0,0,0,0,1,"",1245,1,"Weber 1985","allergenicity unclear. FDA says no allergen",1,"May","June","Selfing, insects","BioFlor- 2018","Cytisus_scoparius","Cytisus",1,FALSE,0,1,0,0,"I","Northern-Europe",1,NA,17.68758947,1.528246154,8.272939715,"se (selfing) [never] - in (insects) [the rule]","H (hymenoptere flowers)Typical pollinators: hymenopteres","Legume","Nanophanerophyte",5,6,1,1,1,0,0,1,1,0,0,1,"insects-selfing",1,1,0
"Dactylis_glomerata","Dactylis_glomerata","Dactylis glomerata","Dactylis_glomerata","Poaceae","Pooideae",16,3,1,4,1,1,1,1,1,1,"43%",NA,1,"Weber 2004","cross-reactivity with other Pooideae; Allergome; IUIS",4,"May","July","Wind, selfing","BioFlor- 2018","Dactylis_glomerata","Dactylis",1,TRUE,1,4,5,7,"I","Northern-Europe",1,NA,26.14085505,0.660004116,0.835444173,"wi (wind) [the rule] - se (selfing) [rare]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",5,7,2,1,1,0,0,0,1,8,6,2,"wind",3,24,1
"Danthonia_decumbens","Danthonia_decumbens","Danthonia decumbens","Danthonia_decumbens","Poaceae","Danthonioideae",1,0,1,1,0,0,0,0,0,1,"",NA,1,"Weber 2004","no clear info on Danthonia - Default allergen score = 1 for a Poaceae",1,"June","July","Wind, cleistogamy","BioFlor- 2018","Danthonia_decumbens","Danthonia",1,FALSE,0,0,1,0,"I","Northern-Europe",1,NA,17.1157309,0.234135238,1.230303846,"wi (wind) [the rule] - kl (cleistogamy) [the rule]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,7,1,1,1,0,0,0,1,4,4,1,"wind",3,3,1
"Daucus_carota","Daucus_carota","Daucus carota","Daucus_carota","Apiaceae","Apioideae",6,1,0,0,1,1,0,1,0,0,"",NA,0,"","Only the root is a known food allergen",0,"June","September","Selfing, insects","BioFlor- 2018","Daucus_carota","Daucus",0,TRUE,0,1,4,1,"I","Northern-Europe",1,NA,18.77244324,0.488749398,1.097841883,"se (selfing) [rare] - in (insects) [the rule]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees","Forb","Cryptophyte",6,9,3,1,1,0,0,0,0,0,0,3,"insects",1,0,0
"Deschampsia_flexuosa","Deschampsia_flexuosa","Deschampsia flexuosa","Deschampsia_flexuosa","Poaceae","Pooideae",2,1,1,3,0,0,0,0,0,1,"",NA,1,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",3,"June","August","Wind","BioFlor- 2018","Deschampsia_flexuosa","Deschampsia",1,FALSE,1,2,0,0,"I","Northern-Europe",1,NA,24.52249327,0.315902857,0.399997586,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,8,2,1,1,0,0,0,1,5,5,2,"wind",3,18,1
"Dianthus_carthusianorum","Dianthus_carthusianorum","Dianthus carthusianorum","Dianthus_carthusianorum","Caryophyllaceae",NA,3,0,0,0,0,0,0,0,0,0,"",NA,0,"","Some allergenicity perhaps but not of the pollen (cf. Allergome)",0,"June","September","Insects","BioFlor- 2018","Dianthus_carthusianorum","Dianthus",0,FALSE,0,1,0,2,"I","Northern-Europe",1,NA,16.662,0.33,1.451714286,"in (insects) [always]","Ft (butterfly flowers)Typical pollinators: butterflies","Forb","Cryptophyte",6,9,3,1,1,0,0,0,0,0,0,3,"insects",1,0,0
"Dianthus_deltoides","Dianthus_deltoides","Dianthus deltoides","Dianthus_deltoides","Caryophyllaceae",NA,9,0,0,0,0,0,0,0,0,0,"",NA,0,"","Some allergenicity perhaps but not of the pollen (cf. Allergome)",0,"June","September","Insects","BioFlor- 2018","Dianthus_deltoides","Dianthus",0,FALSE,0,3,3,3,"I","Northern-Europe",1,NA,19,0.204375,0.195563636,"in (insects) [always]","F (butterfly flowers)Typical pollinators: butterflies, long tongued bees, syrphids","Forb","Cryptophyte",6,9,3,1,1,0,0,0,0,0,0,3,"insects",1,0,0
"Dianthus_giganteus","Dianthus_giganteus","Dianthus giganteus","Dianthus_giganteus","Caryophyllaceae",NA,1,0,0,0,0,0,0,0,0,0,"",NA,0,"","Some allergenicity perhaps but not of the pollen (cf. Allergome)",0,"June","August","Insects","BioFlor- 2018","Dianthus_giganteus","Dianthus",0,FALSE,0,0,0,1,"N","Southern_Europe, Europe",3,2001,NA,NA,NA,NA,NA,"Forb","Cryptophyte",6,8,2,0,0,1,1,0,0,0,0,2,"insects",1,0,0
"Digitaria_ischaemum","Digitaria_ischaemum","Digitaria ischaemum","Digitaria_ischaemum","Poaceae","Panicoideae",3,1,1,2,0,0,0,0,0,1,"",NA,1,"Weber 2004","cross-reactivity within Panicoidae; Grass 1 allergens = upgrade to moderate allergen",2,"July","October","Wind","BioFlor- 2018","Digitaria_ischaemum","Digitaria",1,FALSE,0,1,0,2,"A","",2,NA,37.78842771,0.1425,1.275,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -","Grass","Therophyte",7,10,3,1,0,1,0,0,1,4,4,3,"wind",3,18,1
"Digitaria_sanguinalis","Digitaria_sanguinalis","Digitaria sanguinalis","Digitaria_sanguinalis","Poaceae","Panicoideae",3,1,1,2,0,0,0,0,0,1,"",NA,1,"Weber 2004","cross-reactivity within Panicoidae; Grass 1 allergens = upgrade to moderate allergen",2,"July","October","Wind, selfing","BioFlor- 2018","Digitaria_sanguinalis","Digitaria",1,FALSE,0,0,0,3,"A","",2,NA,38.92089937,0.288333333,0.515142857,"wi (wind) [possible] - se (selfing) [the rule]","W (wind flowers)Typical pollinators: -","Grass","Therophyte",7,10,3,1,0,1,0,0,1,4,4,3,"selfing",1,6,0
"Dipsacus_fullonum","Dipsacus_fullonum","Dipsacus fullonum","Dipsacus_fullonum","Caprifoliaceae",NA,1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"July","August","Selfing, insects","BioFlor- 2018","Dipsacus_fullonum","Dipsacus",0,FALSE,0,1,0,0,"N","North_Africa, Europe",3,1953,19.54852121,0.913527778,2.523848485,"se (selfing) [rare] - in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",7,8,1,0,0,1,1,0,0,0,0,1,"insects",1,0,0
"Draba_verna","Draba_verna","Draba verna","Draba_verna","Brassicaceae",NA,25,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"March","May","Selfing, insects","BioFlor- 2018","Draba_verna","Draba",0,FALSE,0,8,4,13,"I","Northern-Europe",1,NA,39.74744698,0.072307692,0.508402857,NA,NA,"Forb","Cryptophyte",3,5,2,1,1,0,0,0,0,0,0,2,"selfing",0,0,0
"Echium_vulgare","Echium_vulgare","Echium vulgare","Echium_vulgare","Boraginaceae","Boraginoideae",12,0,1,2,0,0,0,0,0,1,"",NA,0,"Katelaris et al. 1982","similar to Paterson's curse (Echium plantagineum)?",2,"May","July","Insects","BioFlor- 2018","Echium_vulgare","Echium",1,FALSE,0,3,2,7,"A","",2,NA,14.45,0.580555556,2.921392308,"in (insects) [the rule]","H (hymenoptere flowers)Typical pollinators: hymenopteres","Forb","Cryptophyte",5,7,2,1,0,1,0,0,1,1,1,2,"insects",1,4,0
"Elymus_repens","Elymus_repens","Elymus repens","Elymus_repens","Poaceae","Pooideae",32,1,1,3,0,0,0,0,0,1,"",671,1,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",3,"June","August","Wind","BioFlor- 2018","Elymus_repens","Elymus",1,FALSE,1,13,11,8,"I","Northern-Europe",1,NA,22.58949776,0.745930234,2.561457226,NA,NA,"Grass","Cryptophyte",6,8,2,1,1,0,0,0,1,5,5,2,"wind",3,18,1
"Equisetum_arvense","Equisetum_arvense","Equisetum arvense","Equisetum_arvense","Equisetaceae",NA,3,0,0,0,0,0,0,0,0,0,"",NA,0,"","No allergy has been reported for Field Horsetail: http://www.pollenlibrary.com/Specie/Equisetum+arvense/",0,"March","April","","BioFlor- 2018","Equisetum_arvense","Equisetum",0,FALSE,0,0,3,0,"I","Northern-Europe",1,NA,13.70609118,0.40618,NA,NA,NA,"Forb","Cryptophyte",0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,0,0
"Equisetum_x_moorei","Equisetum_x_moorei","Equisetum x moorei","Equisetum","Equisetaceae",NA,1,0,0,0,0,0,0,0,0,0,"",NA,0,"","no evidence of allergy for horsetail",0,"","","","BioFlor- 2018","Equisetum_x_moorei","Equisetum",0,FALSE,0,0,1,0,"I","Northern-Europe",1,NA,NA,NA,NA,NA,NA,"Forb","Cryptophyte",0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,0,0
"Eragrostis_minor","Eragrostis_minor","Eragrostis minor","Eragrostis_minor","Poaceae","Chloridoideae",1,0,1,2,0,0,0,0,0,1,"",NA,1,"Weber 2004","""""﻿cross-reacting profilins and calcium-binding allergens are minor allergens""""",2,"July","August","Wind","BioFlor- 2018","Eragrostis_minor","Eragrostis",1,FALSE,0,0,0,1,"N","West_Asia, Southern_Europe",3,1953,31.28794512,0.191666667,0.08,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -","Grass","Therophyte",7,8,1,0,0,1,1,0,1,4,4,1,"wind",3,6,1
"Erigeron_acris","Erigeron_acris","Erigeron acris","Erigeron_acris","Asteraceae","Asteroideae",2,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","September","Selfing, insects","BioFlor- 2018","Erigeron_acris","Erigeron",0,FALSE,0,0,2,0,"I","Northern-Europe",1,NA,NA,NA,0.1025,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",6,9,3,1,1,0,0,0,0,0,0,3,"insects",1,0,0
"Erigeron_annuus","Erigeron_annuus","Erigeron annuus","Erigeron_annuus","Asteraceae","Asteroideae",3,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","September","Insects","BioFlor- 2018","Erigeron_annuus","Erigeron",0,FALSE,0,2,1,0,"N","North_America",3,1859,25.68877817,0.788451613,0.044666667,"in (insects) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",6,9,3,0,0,1,1,0,0,0,0,3,"insects",1,0,0
"Erodium_cicutarium","Erodium_cicutarium","Erodium cicutarium","Erodium_cicutarium","Geraniaceae",NA,12,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"April","October","Selfing, insects","BioFlor- 2018","Erodium_cicutarium","Erodium",0,FALSE,0,3,1,8,"A","",2,NA,29.07861633,0.139132224,1.889393333,"se (selfing) [often] - in (insects) [unknown]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids","Forb","Cryptophyte",4,10,6,1,0,1,0,0,0,0,0,3,"insects",1,0,0
"Euonymus_europaea","Euonymus_europaea","Euonymus europaea","Euonymus_europaea","Celastraceae",NA,1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"May","June","Insects","BioFlor- 2018","Euonymus_europaea","Euonymus",0,FALSE,0,0,1,0,"I","Northern-Europe",1,NA,NA,NA,32.963,"in (insects) [the rule]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees","Forb","Nanophanerophyte",5,6,1,1,1,0,0,0,0,0,0,1,"insects",1,0,0
"Euphorbia_cyparissias","Euphorbia_cyparissias","Euphorbia cyparissias","Euphorbia_cyparissias","Euphorbiaceae","Euphorbioideae",18,0,0,0,0,0,0,0,0,0,"",NA,0,"","contact dermatitis with the latex. No allergies to pollen reported.",0,"April","May","Selfing, insects","BioFlor- 2018","Euphorbia_cyparissias","Euphorbia",0,FALSE,0,6,9,3,"I","Northern-Europe",1,NA,22.31853714,0.203727273,2.041571429,"se (selfing) [possible] - in (insects) [always]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees","Forb","Cryptophyte",4,5,1,1,1,0,0,0,0,0,0,1,"insects",1,0,0
"Festuca_arundinacea","Festuca_arundinacea","Festuca arundinacea","Festuca_arundinacea","Poaceae","Pooideae",1,0,1,3,0,0,1,0,1,1,"64%",637,1,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",3,"June","July","Wind","BioFlor- 2018","Festuca_arundinacea","Festuca",1,TRUE,1,1,0,0,"I","Northern-Europe",1,NA,18.20794803,0.659536993,2.360580645,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,7,1,1,1,0,0,0,1,8,7,1,"wind",3,9,1
"Festuca_brevipila","Festuca_brevipila","Festuca brevipila","Festuca_trachyphylla","Poaceae","Pooideae",39,0,1,3,0,0,0,0,0,1,"",NA,1,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",3,"May","July","Wind","BioFlor- 2018","Festuca_brevipila","Festuca",1,FALSE,1,11,11,17,"I","Northern-Europe",1,NA,5.583333333,0.266666667,0.7898,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",5,7,2,1,1,0,0,0,1,8,7,2,"wind",3,18,1
"Festuca_ovina","Festuca_ovina","Festuca ovina","Festuca_ovina","Poaceae","Pooideae",4,3,1,3,0,0,0,0,0,1,"",636,1,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",3,"May","August","Wind","BioFlor- 2018","Festuca_ovina","Festuca",1,FALSE,1,1,1,2,"I","Northern-Europe",1,NA,16.34846193,0.275417857,0.52923618,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",5,8,3,1,1,0,0,0,1,8,7,3,"wind",3,27,1
"Festuca_pratensis","Festuca_pratensis","Festuca pratensis","Festuca_pratensis","Poaceae","Pooideae",1,2,1,4,1,1,0,0,1,1,"60%",NA,1,"Weber 2004","cross-reactivity with other Pooideae, Poeae grasses",4,"June","July","Wind","BioFlor- 2018","Festuca_pratensis","Festuca",1,TRUE,1,0,1,0,"I","Northern-Europe",1,NA,27.20810855,0.579813793,1.913395238,"wi (wind) [the rule]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,7,1,1,1,0,0,0,1,8,7,1,"wind",3,12,1
"Festuca_rubra_agg.","Festuca_rubra_agg.","Festuca rubra agg.","Festuca_rubra","Poaceae","Pooideae",23,3,1,3,0,0,0,0,1,1,NA,635,1,"Weber 2004","cross-reactivity with other Pooideae",3,"June","July","Wind","BioFlor- 2018","Festuca_rubra_agg.","Festuca",1,TRUE,1,7,9,7,"I","Northern-Europe",1,NA,18.62172783,0.421862146,0.906554557,"wi (wind) [always]","W (wind flowers)Typical pollinators: -","Grass","Cryptophyte",6,7,1,1,1,0,0,0,1,8,7,1,"wind",3,9,1
"Ficaria_verna","Ficaria_verna","Ficaria verna","Ficaria_verna","Ranunculaceae","Ranunculoideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"March","May","Insects","BioFlor- 2018","Ficaria_verna","Ficaria",0,FALSE,0,0,0,1,"I","Northern-Europe",1,NA,36.99645521,0.119727778,2.484523077,NA,NA,"Forb","Cryptophyte",3,5,2,1,1,0,0,0,0,0,0,2,"insects",1,0,0
"Filago_arvensis","Filago_arvensis","Filago arvensis","Filago_arvensis","Asteraceae","Asteroideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"July","September","Wind, selfing","BioFlor- 2018","Filago_arvensis","Filago",0,FALSE,0,0,0,1,"I","Northern-Europe",1,NA,39.06,0.2125,0.4,"wi (wind) [rare] - se (selfing) [the rule]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",7,9,2,1,1,0,0,0,0,0,0,2,"selfing",0,0,0
"Gagea_pratensis","Gagea_pratensis","Gagea pratensis","Stellaster_pratensis","Liliaceae",NA,2,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"March","May","Selfing, insects","BioFlor- 2018","Gagea_pratensis","Gagea",0,FALSE,0,1,1,0,"I","Northern-Europe",1,NA,NA,0.14,NA,"se (selfing) [often] - in (insects) [possible]","AB (flowers with partly hidden nectar)Typical pollinators: syrphids, bees","Forb","Cryptophyte",3,5,2,1,1,0,0,0,0,0,0,2,"insects-selfing",1,0,0
"Galium_aparine","Galium_aparine","Galium aparine","Galium_aparine","Rubiaceae","Rubioideae",3,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","October","Selfing, insects","BioFlor- 2018","Galium_aparine","Galium",0,FALSE,0,2,0,1,"I","Northern-Europe",1,NA,43.76694154,0.351367179,8.489325713,"se (selfing) [the rule] - in (insects) [rare]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees","Forb","Cryptophyte",6,10,4,1,1,0,0,0,0,0,0,3,"insects-selfing",1,0,0
"Galium_boreale","Galium_boreale","Galium boreale","Galium_boreale","Rubiaceae","Rubioideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"July","August","Selfing, insects","BioFlor- 2018","Galium_boreale","Galium",0,FALSE,0,0,1,0,"I","Northern-Europe",1,NA,28.26491311,0.357891667,0.693528079,"se (selfing) [at failure of outcrossing] - in (insects) [always]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees","Forb","Cryptophyte",7,8,1,1,1,0,0,0,0,0,0,1,"insects",1,0,0
"Galium_mollugo","Galium_mollugo","Galium mollugo","Galium_mollugo","Rubiaceae","Rubioideae",3,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"May","July","Selfing, insects","BioFlor- 2018","Galium_mollugo","Galium",0,FALSE,0,2,0,1,"I","Northern-Europe",1,NA,28.71696785,0.335655738,0.681203571,"se (selfing) [possible] - in (insects) [the rule]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees","Forb","Cryptophyte",5,7,2,1,1,0,0,0,0,0,0,2,"insects",1,0,0
"Galium_verum","Galium_verum","Galium verum","Galium_verum","Rubiaceae","Rubioideae",8,2,0,0,0,0,0,0,0,1,"",NA,0,"Hruska 2003","anecdotal evidence only; mostly contact dermatitis",0,"June","September","Wind, selfing, geitonogamy, insects","BioFlor- 2018","Galium_verum","Galium",0,FALSE,0,2,3,3,"I","Northern-Europe",1,NA,20.3511077,0.334698642,0.490500813,"wi (wind) [possible] - se (selfing) [rare] - ge (geitonogamy) [possible] - in (insects) [the rule]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees","Forb","Cryptophyte",6,9,3,1,1,0,0,0,0,0,0,3,"wind-insects",2,0,1
"Geranium_molle","Geranium_molle","Geranium molle","Geranium_molle","Geraniaceae",NA,10,0,1,0,0,0,0,0,0,0,"",NA,0,"","Geranium spp. Reported to have allergenic pollen in Allergome, but provide no primary medical references in the literature. ",0,"May","October","Selfing, insects","BioFlor- 2018","Geranium_molle","Geranium",0,FALSE,0,3,2,5,"A","",2,NA,25.53111294,0.265309524,1.11975,"se (selfing) [the rule] - in (insects) [unknown]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids","Forb","Cryptophyte",5,10,5,1,0,1,0,0,0,0,0,3,"insects-selfing",1,0,0
"Geranium_pusillum","Geranium_pusillum","Geranium pusillum","Geranium_pusillum","Geraniaceae",NA,6,0,1,0,0,0,0,0,0,0,"",NA,0,"","Geranium spp. Reported to have allergenic pollen in Allergome, but provide no primary medical references in the literature. ",0,"May","October","Selfing, insects","BioFlor- 2018","Geranium_pusillum","Geranium",0,FALSE,0,3,2,1,"A","",2,NA,25.5,0.204166667,0.764466667,"se (selfing) [the rule] - in (insects) [rare]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids","Forb","Cryptophyte",5,10,5,1,0,1,0,0,0,0,0,3,"insects-selfing",1,0,0
"Geranium_pyrenaicum","Geranium_pyrenaicum","Geranium pyrenaicum","Geranium_pyrenaicum","Geraniaceae",NA,1,2,1,0,0,0,0,0,0,1,"",NA,0,"Hruska 2003","anecdotal evidence only. Geranium spp. Reported to have allergenic pollen in Allergome, but provide no primary medical references in the literature. ",0,"May","October","Selfing, insects","BioFlor- 2018","Geranium_pyrenaicum","Geranium",0,FALSE,0,0,0,1,"N","Southern_Europe, North_Africa",3,1859,28.37,0.357142857,1.602988235,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids","Forb","Cryptophyte",5,10,5,0,0,1,1,0,0,0,0,3,"insects",1,0,0
"Geranium_robertianum","Geranium_robertianum","Geranium robertianum","Geranium_robertianum","Geraniaceae",NA,1,0,1,0,0,0,0,0,0,0,"",NA,0,"","Geranium spp. Reported to have allergenic pollen in Allergome, but provide no primary medical references in the literature. ",0,"May","October","Selfing, insects","BioFlor- 2018","Geranium_robertianum","Geranium",0,FALSE,0,0,1,0,"I","Northern-Europe",1,NA,43.37080854,0.182,1.324008696,"se (selfing) [the rule] - in (insects) [unknown]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids","Forb","Cryptophyte",5,10,5,1,1,0,0,0,0,0,0,3,"insects-selfing",1,0,0
"Glechoma_hederacea","Glechoma_hederacea","Glechoma hederacea","Glechoma_hederacea","Lamiaceae","Nepetoideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"April","June","Insects","BioFlor- 2018","Glechoma_hederacea","Glechoma",0,FALSE,0,1,0,0,"I","Northern-Europe",1,NA,36.54034021,0.407352941,0.659583333,"in (insects) [the rule]","Hh (bumble bee flowers)Typical pollinators: bumble bees","Forb","Cryptophyte",4,6,2,1,1,0,0,0,0,0,0,2,"insects",1,0,0
"Gypsophila_paniculata","Gypsophila_paniculata","Gypsophila paniculata","Gypsophila_paniculata","Caryophyllaceae",NA,1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","September","Selfing, insects","BioFlor- 2018","Gypsophila_paniculata","Gypsophila",0,FALSE,0,0,1,0,"N","Eastern_Europe, Asia",3,1953,NA,0.75,0.720444444,"se (selfing) [at failure of outcrossing] - in (insects) [the rule]","B (flowers with totally hidden nectar)Typical pollinators: bees, bumblebees, wasps, bombylides, syrphids","Forb","Cryptophyte",6,9,3,0,0,1,1,0,0,0,0,3,"insects",1,0,0
"Helichrysum_arenarium","Helichrysum_arenarium","Helichrysum arenarium","Helichrysum_arenarium","Asteraceae","Asteroideae",12,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"July","August","Geitonogamy, insects","BioFlor- 2018","Helichrysum_arenarium","Helichrysum",0,FALSE,0,4,6,2,"I","Northern-Europe",1,NA,18.41666667,0.2,0.0765,"ge (geitonogamy) [the rule] - in (insects) [possible]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",7,8,1,1,1,0,0,0,0,0,0,1,"insects-selfing",1,0,0
"Herniaria_glabra","Herniaria_glabra","Herniaria glabra","Herniaria_glabra","Caryophyllaceae",NA,2,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"June","October","Selfing, insects","BioFlor- 2018","Herniaria_glabra","Herniaria",0,FALSE,0,1,0,1,"I","Northern-Europe",1,NA,18.44909091,0.094166667,0.080202105,"se (selfing) [the rule] - in (insects) [the rule]","A (flowers with open nectar)Typical pollinators: beetles, flies, syrphids, wasps, medium tongued bees","Forb","Cryptophyte",6,10,4,1,1,0,0,0,0,0,0,3,"insects",1,0,0
"Hieracium_bauhini","Hieracium_bauhini","Hieracium bauhini","Hieracium_bauhini","Asteraceae","Cichorioideae",1,0,0,0,0,0,0,0,0,0,"",NA,0,"","",0,"May","July","Selfing, insects","BioFlor- 2018","Hieracium_bauhini","Hieracium",0,FALSE,0,0,0,1,"I","Northern-Europe",1,NA,NA,NA,NA,"se (selfing) [unknown] - in (insects) [unknown]","B` (flower associations with totally hidden nectar)Typical pollinators: bees, bumble bees, wasps, bombylides, syrphids","Forb","Cryptophyte",5,7,2,1,1,0,0,0,0,0,0,2,"insects",1,0,0
